id_producto,sku,nombre,categoria,marca,precio_mxn,stock,proveedor,fecha_alta,activo
15,ALI-00015,Galletas con Chocolate 300 g Aurea Pro,Alimentos,Aurea,314.41,82,Distribuidora Central,2025-09-05,Sí
16,ELE-00016,Audífonos USB-C Kairo Select,Electrónica,Kairo,343.05,290,Distribuidora del Norte,2024-03-28,Sí
17,ELE-00017,Cargador USB-C 45W Vitta Max,Electrónica,Vitta,3320.94,84,Distribuidora Pacífico,2025-06-24,Sí
18,DEP-00018,Tapete de Yoga 8 mm Kairo Eco,Deportes,Kairo,2984.88,332,Distribuidora Metropolitana,2025-03-24,Sí
19,DEP-00019,Botella Deportiva 1 L Brava Plus,Deportes,Brava,1072.83,301,Distribuidora Nova,2025-08-25,Sí
20,ELE-00020,Webcam Full HD Brava Plus,Electrónica,Brava,3182.16,169,Distribuidora del Norte,2025-06-10,Sí
21,ALI-00021,Aceite de Oliva 500 ml Vitta Advance,Alimentos,Vitta,470.99,124,Distribuidora Bajío,2026-04-06,Sí
22,ELE-00022,Audífonos con Micrófono Prisma Eco,Electrónica,Prisma,1526.19,27,Distribuidora del Norte,2024-03-03,Sí
23,OFI-00023,Cuaderno de Notas Aurea Select,Oficina,Aurea,3233.41,71,Distribuidora Hidalgo,2024-07-06,Sí
24,HOG-00024,Lámpara Minimalista Orion Essential,Hogar,Orion,1657.19,276,Distribuidora Central,2024-04-05,Sí
25,HOG-00025,Organizador de Baño Nativa Max,Hogar,Nativa,596.27,205,Distribuidora Central,2024-06-17,Sí
26,DEP-00026,Mancuerna Hexagonal Kairo Eco,Deportes,Kairo,2116.08,284,Distribuidora Bajío,2024-06-07,Sí
27,HOG-00027,Lámpara de Escritorio Marea Essential,Hogar,Marea,200.34,244,Distribuidora Mexicana,2024-02-28,Sí
28,ELE-00028,Teclado Mecánico Lumina Select,Electrónica,Lumina,1501.65,291,Distribuidora Nova,2025-08-15,Sí
29,CUI-00029,Shampoo Anticaspa 650 ml Marea Classic,Cuidado personal,Marea,607.53,160,Distribuidora Nova,2024-09-28,Sí
30,ALI-00030,Pasta Penne 500 g Marea Plus,Alimentos,Marea,32.21,318,Distribuidora del Norte,2024-03-16,Sí
31,CUI-00031,Cepillo Dental Medio Prisma Plus,Cuidado personal,Prisma,2466.51,189,Distribuidora Pacífico,2024-06-10,Sí
32,CUI-00032,Cepillo Dental Suave Kairo Plus,Cuidado personal,Kairo,2630.81,68,Distribuidora Pacífico,2024-04-28,Sí
33,ALI-00033,Galletas de Avena 300 g Terra Classic,Alimentos,Terra,493.14,175,Distribuidora Nova,2025-12-04,Sí
34,OFI-00034,Memoria USB USB 3.2 Terra Essential,Oficina,Terra,585.47,216,Distribuidora Pacífico,2024-02-15,No
35,HOG-00035,Sartén Antiadherente 24 cm Cobalto Lite,Hogar,Cobalto,1786.72,287,Distribuidora Central,2024-04-24,Sí
36,ALI-00036,Cereal de Avena 500 g Altura Prime,Alimentos,Altura,475.86,75,Distribuidora Hidalgo,2024-05-10,No
37,OFI-00037,Cuaderno Pasta Dura Aurea Select,Oficina,Aurea,4012.59,181,Distribuidora Hidalgo,2025-09-27,Sí
38,HOG-00038,Organizador de Escritorio Urban Essential,Hogar,Urban,513.05,170,Distribuidora Hidalgo,2026-04-01,Sí
39,ALI-00039,Cereal con Frutos 450 g Nexo Plus,Alimentos,Nexo,321.09,19,Distribuidora Bajío,2024-08-15,Sí
40,DEP-00040,Mancuerna Ajustable Brava Select,Deportes,Brava,157.86,98,Distribuidora Hidalgo,2024-12-02,Sí
41,ELE-00041,Mouse Gaming Zenit Lite,Electrónica,Zenit,1258.35,14,Distribuidora del Norte,2026-06-17,Sí
42,HOG-00042,Termo de Acero Inoxidable Altura Plus,Hogar,Altura,1522.7,176,Distribuidora Metropolitana,2025-03-22,Sí
43,CUI-00043,Shampoo Anticaspa 650 ml Aurea Classic,Cuidado personal,Aurea,167.24,223,Distribuidora Central,2025-06-16,Sí
44,CUI-00044,Crema Corporal con Aloe 500 ml Urban Plus,Cuidado personal,Urban,2658.2,169,Distribuidora Metropolitana,2025-11-10,Sí
45,ALI-00045,Pasta Fusilli 500 g Kairo Eco,Alimentos,Kairo,277.47,151,Distribuidora Mexicana,2024-07-15,Sí
46,DEP-00046,Tapete de Yoga Antideslizante Zenit Lite,Deportes,Zenit,2515.14,155,Distribuidora Pacífico,2024-08-03,Sí
47,CUI-00047,Secadora 2000 W Cobalto Max,Cuidado personal,Cobalto,1262.71,109,Distribuidora Bajío,2026-03-23,Sí
48,ALI-00048,Cereal de Avena 500 g Lumina Classic,Alimentos,Lumina,423.96,324,Distribuidora Metropolitana,2024-04-05,Sí
49,HOG-00049,Sartén Antiadherente 24 cm Aurea Pro,Hogar,Aurea,138.11,125,Distribuidora Bajío,2025-09-17,Sí
50,ELE-00050,Bocina Resistente al Agua Aurea Eco,Electrónica,Aurea,1805.16,124,Distribuidora Mexicana,2025-11-02,Sí
51,ELE-00051,Bocina Portátil Nexo Lite,Electrónica,Nexo,1705.24,285,Distribuidora Nova,2026-07-28,Sí
52,DEP-00052,Tapete de Yoga con Correa Marea Max,Deportes,Marea,1871.82,258,Distribuidora Hidalgo,2026-04-30,Sí
53,DEP-00053,Tapete de Yoga con Correa Cobalto Classic,Deportes,Cobalto,2276.67,326,Distribuidora Pacífico,2026-02-23,Sí
54,DEP-00054,Tapete de Yoga Antideslizante Cobalto Plus,Deportes,Cobalto,2165.42,120,Distribuidora Pacífico,2024-12-09,Sí
55,CUI-00055,Shampoo Hidratante 750 ml Vitta Select,Cuidado personal,Vitta,1099.88,78,Distribuidora Nova,2024-03-06,Sí
56,OFI-00056,Memoria USB USB 3.2 Urban Essential,Oficina,Urban,1268.56,215,Distribuidora Hidalgo,2026-07-15,Sí
57,ALI-00057,Café Descafeinado 400 g Nativa Essential,Alimentos,Nativa,754.68,152,Distribuidora Hidalgo,2026-05-23,Sí
58,DEP-00058,Guantes de Ciclismo Nativa Select,Deportes,Nativa,883.24,248,Distribuidora Central,2025-02-02,Sí
59,ALI-00059,Aceite Vegetal 1 L Nexo Max,Alimentos,Nexo,736.73,318,Distribuidora Central,2026-07-17,Sí
60,CUI-00060,Shampoo Hidratante 750 ml Urban Pro,Cuidado personal,Urban,2432.31,93,Distribuidora Central,2024-09-23,Sí
61,HOG-00061,Juego de Toallas 6 Piezas Marea Eco,Hogar,Marea,752.38,215,Distribuidora Pacífico,2026-05-04,Sí
62,ELE-00062,Webcam Full HD Prisma Select,Electrónica,Prisma,2326.98,333,Distribuidora Central,2026-02-11,No
63,HOG-00063,Organizador de Cocina Vitta Select,Hogar,Vitta,384.45,342,Distribuidora del Norte,2025-07-31,Sí
64,DEP-00064,Mancuerna Ajustable Nexo Advance,Deportes,Nexo,1856.09,58,Distribuidora Mexicana,2024-11-14,Sí
65,ELE-00065,Mouse Óptico Zenit Select,Electrónica,Zenit,403.59,321,Distribuidora Nova,2024-04-14,Sí
66,OFI-00066,Memoria USB 32 GB Altura Prime,Oficina,Altura,3212.29,338,Distribuidora Metropolitana,2024-03-11,Sí
67,OFI-00067,Cuaderno Cuadriculado Nativa Plus,Oficina,Nativa,2620.53,185,Distribuidora Bajío,2025-12-25,Sí
68,HOG-00068,Termo de Acero Inoxidable Nativa Max,Hogar,Nativa,1133.09,303,Distribuidora Pacífico,2024-11-26,Sí
69,ELE-00069,Mouse Óptico Brava Max,Electrónica,Brava,2058.0,342,Distribuidora Hidalgo,2024-12-10,No
70,OFI-00070,Mochila Impermeable Aurea Prime,Oficina,Aurea,4793.27,174,Distribuidora Pacífico,2026-06-20,Sí
71,OFI-00071,Memoria USB 32 GB Aurea Plus,Oficina,Aurea,1474.45,208,Distribuidora Bajío,2025-07-22,Sí
72,ALI-00072,Aceite Vegetal 1 L Nativa Max,Alimentos,Nativa,638.73,47,Distribuidora Pacífico,2024-08-14,Sí
73,HOG-00073,Sartén de Acero 26 cm Prisma Max,Hogar,Prisma,1418.4,176,Distribuidora Hidalgo,2026-02-02,Sí
74,OFI-00074,Silla de Oficina Kairo Classic,Oficina,Kairo,1409.93,98,Distribuidora Metropolitana,2024-05-02,Sí
75,ALI-00075,Cereal Integral 500 g Aurea Max,Alimentos,Aurea,239.01,301,Distribuidora Pacífico,2024-04-12,Sí
76,OFI-00076,Mochila Antirrobo Nexo Classic,Oficina,Nexo,119.38,273,Distribuidora Mexicana,2024-10-07,No
77,ELE-00077,Cargador Inalámbrico Vitta Max,Electrónica,Vitta,492.67,6,Distribuidora Pacífico,2025-04-25,Sí
78,OFI-00078,Mochila para Laptop 15.6 Terra Max,Oficina,Terra,715.42,33,Distribuidora Hidalgo,2025-05-18,Sí
79,ALI-00079,Café en Grano 1 kg Vitta Advance,Alimentos,Vitta,759.62,43,Distribuidora Nova,2024-05-01,Sí
80,DEP-00080,Guantes de Ciclismo Zenit Max,Deportes,Zenit,2732.75,152,Distribuidora Hidalgo,2024-11-08,Sí
81,ELE-00081,Cargador USB-C 20W Aurea Select,Electrónica,Aurea,1035.56,41,Distribuidora Mexicana,2024-09-02,Sí
82,ELE-00082,Teclado Mecánico Urban Max,Electrónica,Urban,2458.39,240,Distribuidora Pacífico,2024-02-03,Sí
83,ALI-00083,Pasta Fusilli 500 g Cobalto Plus,Alimentos,Cobalto,557.04,135,Distribuidora Nova,2025-03-11,Sí
84,HOG-00084,Organizador Multiusos Vitta Plus,Hogar,Vitta,223.32,157,Distribuidora Pacífico,2025-03-25,Sí
85,ALI-00085,Pasta Fusilli 500 g Zenit Classic,Alimentos,Zenit,412.37,252,Distribuidora Bajío,2024-03-23,Sí
86,DEP-00086,Mancuerna Ajustable Nova Plus,Deportes,Nova,755.17,345,Distribuidora Central,2026-02-22,Sí
87,OFI-00087,Memoria USB 32 GB Nexo Max,Oficina,Nexo,3130.1,226,Distribuidora Pacífico,2024-07-04,Sí
88,DEP-00088,Balón de Fútbol Nativa Prime,Deportes,Nativa,1277.29,164,Distribuidora del Norte,2026-05-28,Sí
89,DEP-00089,Balón de Voleibol Zenit Lite,Deportes,Zenit,195.79,45,Distribuidora Metropolitana,2024-09-15,Sí
90,DEP-00090,Guantes de Gimnasio Cobalto Eco,Deportes,Cobalto,246.73,265,Distribuidora Metropolitana,2025-09-29,Sí
91,ALI-00091,Aceite de Oliva 500 ml Aurea Classic,Alimentos,Aurea,450.1,147,Distribuidora Bajío,2026-06-20,Sí
92,ELE-00092,Audífonos Inalámbricos Nexo Classic,Electrónica,Nexo,1994.31,282,Distribuidora Hidalgo,2024-04-05,Sí
93,ELE-00093,Bocina Bluetooth Vitta Max,Electrónica,Vitta,3273.39,149,Distribuidora Pacífico,2025-03-01,Sí
94,DEP-00094,Tapete de Yoga con Correa Vitta Eco,Deportes,Vitta,643.68,306,Distribuidora Mexicana,2026-06-03,Sí
95,DEP-00095,Mancuerna Ajustable Nova Classic,Deportes,Nova,2201.81,300,Distribuidora Bajío,2026-06-05,Sí
96,CUI-00096,Rasuradora Corporal Marea Lite,Cuidado personal,Marea,2145.95,193,Distribuidora Bajío,2026-08-13,Sí
97,HOG-00097,Organizador de Baño Brava Eco,Hogar,Brava,184.63,242,Distribuidora Hidalgo,2025-01-30,Sí
98,ALI-00098,Cereal con Frutos 450 g Altura Pro,Alimentos,Altura,413.77,302,Distribuidora Metropolitana,2026-06-09,Sí
99,DEP-00099,Botella Deportiva Térmica Nova Pro,Deportes,Nova,1282.04,335,Distribuidora Mexicana,2024-03-17,Sí
100,OFI-00100,Calculadora Financiera Lumina Prime,Oficina,Lumina,5118.36,273,Distribuidora Hidalgo,2026-09-04,Sí
101,ALI-00101,Aceite Vegetal 1 L Altura Advance,Alimentos,Altura,77.96,323,Distribuidora Pacífico,2024-08-20,Sí
102,DEP-00102,Botella Deportiva 750 ml Cobalto Pro,Deportes,Cobalto,2108.54,14,Distribuidora Central,2024-11-28,Sí
103,OFI-00103,Calculadora Básica Urban Pro,Oficina,Urban,1491.39,210,Distribuidora Mexicana,2024-06-23,Sí
104,CUI-00104,Rasuradora 3 Cabezas Nativa Advance,Cuidado personal,Nativa,439.15,236,Distribuidora Pacífico,2025-04-15,Sí
105,ELE-00105,Bocina Inteligente Nexo Plus,Electrónica,Nexo,1628.79,176,Distribuidora Pacífico,2025-10-16,Sí
106,ALI-00106,Pasta Penne 500 g Kairo Select,Alimentos,Kairo,798.52,247,Distribuidora del Norte,2024-08-30,Sí
107,OFI-00107,Memoria USB 128 GB Kairo Essential,Oficina,Kairo,5867.46,337,Distribuidora Hidalgo,2024-10-08,No
108,ALI-00108,Café Descafeinado 400 g Kairo Select,Alimentos,Kairo,494.87,180,Distribuidora Nova,2025-10-13,Sí
109,OFI-00109,Mochila para Laptop 15.6 Altura Classic,Oficina,Altura,4738.27,17,Distribuidora Metropolitana,2026-01-19,Sí
110,OFI-00110,Calculadora Financiera Nexo Select,Oficina,Nexo,823.2,276,Distribuidora Metropolitana,2025-06-27,Sí
111,OFI-00111,Mochila Antirrobo Nativa Classic,Oficina,Nativa,4487.48,173,Distribuidora del Norte,2025-04-24,Sí
112,HOG-00112,Organizador de Baño Prisma Plus,Hogar,Prisma,1992.45,7,Distribuidora Pacífico,2025-07-03,Sí
113,OFI-00113,Calculadora Financiera Prisma Plus,Oficina,Prisma,4059.73,241,Distribuidora Central,2025-09-26,Sí
114,CUI-00114,Cepillo Dental Medio Lumina Max,Cuidado personal,Lumina,2549.45,154,Distribuidora Hidalgo,2024-04-29,Sí
115,ELE-00115,Mouse Óptico Orion Plus,Electrónica,Orion,935.58,275,Distribuidora Mexicana,2025-02-01,Sí
116,ALI-00116,Galletas Integrales 350 g Vitta Eco,Alimentos,Vitta,531.91,250,Distribuidora Hidalgo,2026-08-19,Sí
117,ELE-00117,Webcam con Micrófono Aurea Max,Electrónica,Aurea,1638.73,120,Distribuidora Metropolitana,2024-04-11,Sí
118,OFI-00118,Memoria USB 128 GB Altura Eco,Oficina,Altura,1680.36,62,Distribuidora Bajío,2024-04-03,Sí
119,ALI-00119,Galletas de Avena 300 g Altura Prime,Alimentos,Altura,213.52,64,Distribuidora Nova,2024-03-11,Sí
120,CUI-00120,Crema Corporal Nutritiva 400 ml Aurea Select,Cuidado personal,Aurea,949.85,75,Distribuidora Central,2024-10-10,Sí
121,HOG-00121,Organizador Multiusos Nexo Plus,Hogar,Nexo,1678.76,13,Distribuidora Mexicana,2024-01-16,Sí
122,HOG-00122,Termo de Acero Inoxidable Nova Pro,Hogar,Nova,721.19,64,Distribuidora Hidalgo,2025-06-22,Sí
123,ELE-00123,Bocina Resistente al Agua Prisma Lite,Electrónica,Prisma,2137.78,231,Distribuidora Nova,2026-08-26,Sí
124,ALI-00124,Galletas Integrales 350 g Cobalto Essential,Alimentos,Cobalto,72.08,245,Distribuidora Hidalgo,2025-03-12,Sí
125,DEP-00125,Balón de Fútbol Lumina Prime,Deportes,Lumina,1859.15,33,Distribuidora Mexicana,2024-10-08,Sí
126,CUI-00126,Secadora 2000 W Zenit Advance,Cuidado personal,Zenit,1506.15,232,Distribuidora Hidalgo,2024-04-11,Sí
127,ELE-00127,Webcam 2K Urban Max,Electrónica,Urban,3124.1,211,Distribuidora Metropolitana,2026-04-27,Sí
128,DEP-00128,Botella Deportiva con Popote Urban Prime,Deportes,Urban,2024.46,191,Distribuidora Mexicana,2025-12-04,Sí
129,ELE-00129,Audífonos Bluetooth Lumina Eco,Electrónica,Lumina,472.49,190,Distribuidora Mexicana,2025-07-23,Sí
130,CUI-00130,Secadora 2000 W Orion Eco,Cuidado personal,Orion,1018.81,340,Distribuidora Hidalgo,2026-06-07,Sí
131,ELE-00131,Mouse Gaming Prisma Plus,Electrónica,Prisma,2085.03,108,Distribuidora Mexicana,2025-11-03,Sí
132,ELE-00132,Mouse Gaming Orion Classic,Electrónica,Orion,2072.24,219,Distribuidora Central,2025-09-15,Sí
133,ALI-00133,Pasta Spaghetti 500 g Nexo Classic,Alimentos,Nexo,568.89,158,Distribuidora Metropolitana,2024-12-25,No
134,HOG-00134,Termo Térmico Lumina Pro,Hogar,Lumina,1872.15,15,Distribuidora del Norte,2026-02-03,Sí
135,DEP-00135,Balón Entrenamiento Marea Pro,Deportes,Marea,1165.85,166,Distribuidora del Norte,2026-06-23,Sí
136,HOG-00136,Termo 500 ml Lumina Classic,Hogar,Lumina,1151.33,217,Distribuidora Bajío,2025-09-13,Sí
137,OFI-00137,Mochila para Laptop 15.6 Prisma Eco,Oficina,Prisma,696.35,347,Distribuidora Bajío,2025-06-23,Sí
138,ELE-00138,Teclado RGB Altura Essential,Electrónica,Altura,833.82,108,Distribuidora Mexicana,2026-02-21,Sí
139,OFI-00139,Cuaderno Profesional Nativa Eco,Oficina,Nativa,1082.84,194,Distribuidora Nova,2025-05-27,Sí
140,ALI-00140,Pasta Spaghetti 500 g Zenit Essential,Alimentos,Zenit,362.63,235,Distribuidora del Norte,2026-06-01,Sí
141,DEP-00141,Guantes con Muñequera Urban Classic,Deportes,Urban,424.15,10,Distribuidora Metropolitana,2024-06-24,Sí
142,CUI-00142,Rasuradora Corporal Lumina Eco,Cuidado personal,Lumina,2370.71,124,Distribuidora Hidalgo,2025-08-26,Sí
143,ELE-00143,Bocina Inteligente Marea Select,Electrónica,Marea,1264.78,86,Distribuidora del Norte,2025-06-06,Sí
144,CUI-00144,Secadora Iónica Prisma Prime,Cuidado personal,Prisma,2048.2,330,Distribuidora Mexicana,2024-08-29,Sí
145,OFI-00145,Mochila Ejecutiva Vitta Plus,Oficina,Vitta,1091.5,321,Distribuidora Bajío,2025-04-20,Sí
146,CUI-00146,Rasuradora Corporal Marea Pro,Cuidado personal,Marea,1256.11,240,Distribuidora Bajío,2025-10-08,Sí
147,OFI-00147,Memoria USB 32 GB Prisma Lite,Oficina,Prisma,477.47,236,Distribuidora Bajío,2024-02-08,Sí
148,OFI-00148,Cuaderno Profesional Zenit Max,Oficina,Zenit,3496.08,21,Distribuidora Bajío,2026-07-19,Sí
149,ALI-00149,Cereal con Frutos 450 g Nativa Lite,Alimentos,Nativa,141.77,31,Distribuidora Bajío,2024-04-15,Sí
150,OFI-00150,Cuaderno de Notas Altura Select,Oficina,Altura,4255.26,224,Distribuidora Mexicana,2025-01-07,Sí
151,OFI-00151,Silla con Soporte Lumbar Marea Advance,Oficina,Marea,347.31,323,Distribuidora Metropolitana,2024-03-08,Sí
152,CUI-00152,Rasuradora Corporal Terra Advance,Cuidado personal,Terra,2450.01,170,Distribuidora del Norte,2025-08-19,Sí
153,OFI-00153,Calculadora Financiera Vitta Advance,Oficina,Vitta,4262.49,43,Distribuidora Pacífico,2025-07-26,Sí
154,OFI-00154,Mochila para Laptop 15.6 Urban Lite,Oficina,Urban,2192.94,185,Distribuidora Pacífico,2024-07-03,Sí
155,OFI-00155,Silla Ejecutiva Brava Pro,Oficina,Brava,959.09,151,Distribuidora del Norte,2025-06-03,Sí
156,ALI-00156,Galletas de Avena 300 g Marea Advance,Alimentos,Marea,126.43,192,Distribuidora Mexicana,2024-06-15,Sí
157,ALI-00157,Galletas de Avena 300 g Cobalto Essential,Alimentos,Cobalto,343.0,346,Distribuidora Nova,2025-03-30,Sí
158,ALI-00158,Aceite de Oliva 500 ml Brava Classic,Alimentos,Brava,772.37,240,Distribuidora Nova,2025-01-11,Sí
159,CUI-00159,Rasuradora de Precisión Kairo Eco,Cuidado personal,Kairo,1430.01,214,Distribuidora Mexicana,2026-04-16,Sí
160,CUI-00160,Crema Corporal con Aloe 500 ml Altura Max,Cuidado personal,Altura,2452.32,283,Distribuidora del Norte,2025-12-29,Sí
161,ELE-00161,Mouse Inalámbrico Nexo Classic,Electrónica,Nexo,1654.22,262,Distribuidora Mexicana,2026-04-30,Sí
162,HOG-00162,Juego de Toallas 6 Piezas Nova Eco,Hogar,Nova,207.88,257,Distribuidora Metropolitana,2024-08-29,Sí
163,ELE-00163,Mouse Ergonómico Nova Prime,Electrónica,Nova,3267.27,332,Distribuidora Metropolitana,2026-03-21,Sí
164,ELE-00164,Mouse Óptico Vitta Max,Electrónica,Vitta,1651.81,2,Distribuidora del Norte,2024-01-20,Sí
165,HOG-00165,Termo Térmico Orion Classic,Hogar,Orion,654.09,62,Distribuidora Central,2024-09-01,Sí
166,CUI-00166,Rasuradora Recargable Orion Max,Cuidado personal,Orion,1688.42,8,Distribuidora Nova,2026-01-05,Sí
167,DEP-00167,Botella Deportiva con Popote Brava Advance,Deportes,Brava,1301.21,340,Distribuidora del Norte,2025-06-20,Sí
168,ELE-00168,Cargador USB-C 20W Zenit Max,Electrónica,Zenit,294.84,198,Distribuidora Metropolitana,2024-09-16,Sí
169,OFI-00169,Cuaderno Pasta Dura Brava Plus,Oficina,Brava,4636.23,170,Distribuidora Mexicana,2024-02-15,Sí
170,OFI-00170,Mochila Impermeable Nativa Pro,Oficina,Nativa,4874.77,32,Distribuidora Bajío,2024-02-07,Sí
171,ELE-00171,Teclado Mecánico Marea Classic,Electrónica,Marea,1875.54,278,Distribuidora Bajío,2024-09-16,No
172,ALI-00172,Cereal con Frutos 450 g Prisma Essential,Alimentos,Prisma,695.13,169,Distribuidora Pacífico,2024-05-07,Sí
173,DEP-00173,Balón Entrenamiento Zenit Prime,Deportes,Zenit,2922.54,254,Distribuidora Bajío,2025-01-11,Sí
174,CUI-00174,Cepillo Dental Suave Urban Plus,Cuidado personal,Urban,1230.89,92,Distribuidora Pacífico,2024-11-24,Sí
175,OFI-00175,Calculadora Básica Cobalto Advance,Oficina,Cobalto,4315.14,85,Distribuidora Bajío,2024-12-25,Sí
176,ALI-00176,Pasta Fusilli 500 g Urban Classic,Alimentos,Urban,519.95,29,Distribuidora del Norte,2025-11-18,Sí
177,OFI-00177,Memoria USB 64 GB Nova Pro,Oficina,Nova,5096.46,347,Distribuidora Bajío,2024-02-05,Sí
178,HOG-00178,Sartén Antiadherente 28 cm Zenit Advance,Hogar,Zenit,157.37,78,Distribuidora Bajío,2026-08-29,Sí
179,DEP-00179,Botella Deportiva 1 L Prisma Eco,Deportes,Prisma,1003.86,142,Distribuidora Nova,2024-04-26,No
180,HOG-00180,Juego de Toallas Microfibra Orion Classic,Hogar,Orion,1954.41,228,Distribuidora Nova,2025-09-18,Sí
181,DEP-00181,Tapete de Yoga 6 mm Vitta Plus,Deportes,Vitta,1404.44,227,Distribuidora del Norte,2026-04-09,Sí
182,OFI-00182,Calculadora Científica Kairo Classic,Oficina,Kairo,5112.52,326,Distribuidora Mexicana,2026-03-23,Sí
183,HOG-00183,Lámpara LED Vitta Select,Hogar,Vitta,1991.7,13,Distribuidora Metropolitana,2025-07-21,Sí
184,DEP-00184,Guantes de Ciclismo Lumina Plus,Deportes,Lumina,989.04,245,Distribuidora Hidalgo,2026-02-26,Sí
185,CUI-00185,Shampoo Hidratante 750 ml Marea Plus,Cuidado personal,Marea,1284.23,348,Distribuidora Metropolitana,2024-05-11,Sí
186,CUI-00186,Secadora Iónica Vitta Eco,Cuidado personal,Vitta,1429.89,28,Distribuidora del Norte,2025-06-14,Sí
187,HOG-00187,Organizador Multiusos Brava Prime,Hogar,Brava,2371.91,265,Distribuidora Pacífico,2026-05-16,Sí
188,HOG-00188,Termo de Acero Inoxidable Vitta Classic,Hogar,Vitta,1565.92,47,Distribuidora Mexicana,2025-08-29,Sí
189,HOG-00189,Organizador Multiusos Altura Essential,Hogar,Altura,275.56,328,Distribuidora Pacífico,2025-10-28,Sí
190,CUI-00190,Rasuradora Recargable Nativa Lite,Cuidado personal,Nativa,842.76,154,Distribuidora Bajío,2024-09-07,Sí
191,ALI-00191,Aceite de Aguacate 500 ml Cobalto Plus,Alimentos,Cobalto,557.99,80,Distribuidora Bajío,2025-03-01,Sí
192,HOG-00192,Sartén de Acero 26 cm Vitta Prime,Hogar,Vitta,2163.79,163,Distribuidora Metropolitana,2025-02-12,Sí
193,OFI-00193,Memoria USB 32 GB Marea Select,Oficina,Marea,2817.04,136,Distribuidora Bajío,2024-09-10,Sí
194,ELE-00194,Mouse Óptico Urban Select,Electrónica,Urban,3374.0,81,Distribuidora Metropolitana,2026-08-14,Sí
195,OFI-00195,Mochila Ejecutiva Nativa Lite,Oficina,Nativa,2819.09,157,Distribuidora Bajío,2024-01-24,Sí
196,DEP-00196,Guantes con Muñequera Brava Select,Deportes,Brava,1786.53,24,Distribuidora Central,2024-10-15,Sí
197,ALI-00197,Aceite de Aguacate 500 ml Nova Plus,Alimentos,Nova,358.54,135,Distribuidora Metropolitana,2026-02-21,Sí
198,ELE-00198,Bocina Bluetooth Aurea Prime,Electrónica,Aurea,2002.3,37,Distribuidora Hidalgo,2025-05-31,Sí
199,CUI-00199,Cepillo Dental Suave Vitta Plus,Cuidado personal,Vitta,1129.81,173,Distribuidora Metropolitana,2026-02-12,Sí
200,CUI-00200,Secadora Profesional Altura Essential,Cuidado personal,Altura,152.17,170,Distribuidora Bajío,2025-06-15,Sí
201,CUI-00201,Secadora Iónica Marea Advance,Cuidado personal,Marea,922.23,201,Distribuidora Pacífico,2025-08-30,Sí
202,CUI-00202,Secadora Profesional Kairo Max,Cuidado personal,Kairo,2291.57,188,Distribuidora Metropolitana,2025-11-20,Sí
203,DEP-00203,Guantes Deportivos Nova Advance,Deportes,Nova,1470.06,335,Distribuidora Nova,2026-01-08,Sí
204,DEP-00204,Tapete de Yoga con Correa Vitta Select,Deportes,Vitta,180.87,56,Distribuidora Nova,2024-01-20,Sí
205,DEP-00205,Tapete de Yoga con Correa Aurea Eco,Deportes,Aurea,1549.29,313,Distribuidora Bajío,2026-06-12,Sí
206,ALI-00206,Café en Grano 1 kg Aurea Lite,Alimentos,Aurea,276.59,339,Distribuidora Bajío,2025-06-22,Sí
207,HOG-00207,Juego de Toallas 6 Piezas Prisma Classic,Hogar,Prisma,1555.39,98,Distribuidora Nova,2024-10-12,Sí
